"","BILLING.DOC","DESCRIPTION","SERVICE.DATE","avg_division"
"16858",7817253710,"PACK AND TRACK INTERNATIONAL",16022024,0
"16859",7817253712,"PACK AND TRACK INTERNATIONAL",16022024,0
"16860",7817253714,"PACK AND TRACK INTERNATIONAL",16022024,0
"16861",7817253716,"PACK AND TRACK INTERNATIONAL",16022024,0
"16862",7817253718,"PACK AND TRACK INTERNATIONAL",16022024,0
"16863",7817253720,"PACK AND TRACK INTERNATIONAL",16022024,0
"16864",7817253722,"PACK AND TRACK INTERNATIONAL",16022024,0
"16865",7817253899,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16866",7817253899,"AP Security Mgt Charge",16022024,NA
"16867",7817253899,"Express Post with Signature",16022024,0.0883321158241132
"16868",7817253899,"Parcel Post with Signature",16022024,0.0879953879515935
"16869",7817253926,"PACK AND TRACK INTERNATIONAL",16022024,0
"16870",7817253927,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16871",7817253927,"AP Security Mgt Charge",16022024,NA
"16872",7817253927,"Express Post with Signature",16022024,0.0879904875148633
"16873",7817253927,"Parcel Post with Signature",16022024,0.0883556765010045
"16874",7817253993,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16875",7817253993,"Parcel Post with Signature",16022024,0.0880998449989526
"16876",7817254030,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16877",7817254030,"Parcel Post with Signature",16022024,0.0882646751177445
"16878",7817254753,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16879",7817254753,"AP Security Mgt Charge",16022024,NA
"16880",7817254753,"Express Post with Signature",16022024,0.0881117135416017
"16881",7817254753,"Parcel Post with Signature",16022024,0.0882630762702424
"16882",7817254772,"Express Courier International (eParcel)",16022024,0
"16883",7817255769,"Express Courier International (eParcel)",16022024,0
"16884",7817255974,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16885",7817255974,"AP Security Mgt Charge",16022024,NA
"16886",7817255974,"Express Post with Signature",16022024,0.0881475424209266
"16887",7817255974,"Parcel Post with Signature",16022024,0.0881965640439127
"16888",7817256023,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16889",7817256023,"EPARCEL WINE STD",16022024,0.0882312614736313
"16890",7817256225,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16891",7817256225,"AP Security Mgt Charge",16022024,NA
"16892",7817256225,"Express Post with Signature",16022024,0.0879405643588068
"16893",7817256225,"Parcel Post with Signature",16022024,0.0886006169548328
"16894",7817256230,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16895",7817256230,"AP Security Mgt Charge",16022024,NA
"16896",7817256230,"Express Post with Signature",16022024,0.0880513450633611
"16897",7817256230,"Parcel Post with Signature",16022024,0.0880848519741934
"16898",7817256246,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16899",7817256246,"AP Security Mgt Charge",16022024,NA
"16900",7817256246,"Express Post with Signature",16022024,0.0881585574252703
"16901",7817256246,"Parcel Post with Signature",16022024,0.0881092393401097
"16902",7817256247,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16903",7817256247,"Parcel Post with Signature",16022024,0.0876068376068376
"16904",7817256528,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16905",7817256528,"AP Security Mgt Charge",16022024,NA
"16906",7817256528,"Express Post with Signature",16022024,0.0877981356477017
"16907",7817256528,"Parcel Post with Signature",16022024,0.0880295553850977
"16908",7817256680,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16909",7817256680,"Parcel Post with Signature",16022024,0.0881792603307815
"16910",7817256719,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16911",7817256719,"Parcel Post with Signature",16022024,0.0884573894282632
"16912",7817256825,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16913",7817256825,"AP Security Mgt Charge",16022024,NA
"16914",7817256825,"Express Post with Signature",16022024,0.0884388470151949
"16915",7817256825,"Parcel Post with Signature",16022024,0.0881616082059809
"16916",7817256827,"Express Courier International (eParcel)",16022024,0
"16917",7817256928,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16918",7817256928,"Parcel Post with Signature",16022024,0.088440020536885
"16919",7817257348,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16920",7817257348,"AP Security Mgt Charge",16022024,NA
"16921",7817257348,"Express Post with Signature",16022024,0.0884185096949046
"16922",7817257348,"Parcel Post with Signature",16022024,0.0880474188974574
"16923",7817257391,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16924",7817257391,"AP Security Mgt Charge",16022024,NA
"16925",7817257391,"Express Post with Signature",16022024,0.0881624883952813
"16926",7817257392,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16927",7817257392,"Parcel Post with Signature",16022024,0.0880831988206029
"16928",7817257402,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16929",7817257402,"AP Security Mgt Charge",16022024,NA
"16930",7817257402,"Express Post with Signature",16022024,0.0882021628905114
"16931",7817257402,"Parcel Post with Signature",16022024,0.0882580110084801
"16932",7817257408,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16933",7817257408,"AP Security Mgt Charge",16022024,NA
"16934",7817257408,"Express Post with Signature",16022024,0.0881881300129646
"16935",7817257408,"Parcel Post with Signature",16022024,0.0883065139410142
"16936",7817257637,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16937",7817257637,"AP Security Mgt Charge",16022024,NA
"16938",7817257637,"Express Post with Signature",16022024,0.0882511242110682
"16939",7817257637,"Parcel Post with Signature",16022024,0.0876068376068376
"16940",7817257654,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16941",7817257654,"AP Security Mgt Charge",16022024,NA
"16942",7817257654,"Express Post with Signature",16022024,0.0882537085765782
"16943",7817257654,"Parcel Post with Signature",16022024,0.0885741118755718
"16944",7817257950,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16945",7817257950,"Parcel Post with Signature",16022024,0.0882375708210383
"16946",7817258228,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16947",7817258228,"AP Security Mgt Charge",16022024,NA
"16948",7817258228,"Express Post with Signature",16022024,0.0880840032264488
"16949",7817258228,"Parcel Post with Signature",16022024,0.0880694008074833
"16950",7817258725,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16951",7817258725,"Parcel Post with Signature",16022024,0.0880521008522457
"16952",7817258856,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16953",7817258856,"EPARCEL WINE STD",16022024,0.0878702535434653
"16954",7817258862,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16955",7817258862,"AP Security Mgt Charge",16022024,NA
"16956",7817258862,"Express Post with Signature",16022024,0.0880769230769231
"16957",7817258862,"Parcel Post with Signature",16022024,0.0879953611649379
"16958",7817258924,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16959",7817258924,"AP Security Mgt Charge",16022024,NA
"16960",7817258924,"Express Post with Signature",16022024,0.0882352941176471
"16961",7817258924,"Parcel Post with Signature",16022024,0.0881724104237363
"16962",7817258929,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16963",7817258929,"Parcel Post with Signature",16022024,0.0879861374826001
"16964",7817259154,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16965",7817259154,"Parcel Post with Signature",16022024,0.0884451904300233
"16966",7817259196,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16967",7817259196,"AP Security Mgt Charge",16022024,NA
"16968",7817259196,"Express Post with Signature",16022024,0.088211475344432
"16969",7817259196,"Parcel Post with Signature",16022024,0.0882138097460281
"16970",7817259213,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16971",7817259213,"Parcel Post with Signature",16022024,0.0880863366733249
"16972",7817259224,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16973",7817259224,"AP Security Mgt Charge",16022024,NA
"16974",7817259224,"Express Post with Signature",16022024,0.088166691723663
"16975",7817259224,"Parcel Post with Signature",16022024,0.0882511627557076
"16976",7817259228,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16977",7817259228,"AP Security Mgt Charge",16022024,NA
"16978",7817259228,"Express Post with Signature",16022024,0.0879638009049774
"16979",7817259427,"Express Courier International (eParcel)",16022024,0
"16980",7817259429,"Express Courier International (eParcel)",16022024,0
"16981",7817259830,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16982",7817259830,"Parcel Post with Signature",16022024,0.0882145871554996
"16983",7817259846,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16984",7817259846,"Parcel Post with Signature",16022024,0.0880750278591391
"16985",7817259856,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16986",7817259856,"Parcel Post with Signature",16022024,0.0881049892416521
"16987",7817259870,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16988",7817259870,"Parcel Post with Signature",16022024,0.0880644207254484
"16989",7817261263,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16990",7817261263,"AP Security Mgt Charge",16022024,NA
"16991",7817261263,"Express Post with Signature",16022024,0.088343490494768
"16992",7817261263,"Parcel Post with Signature",16022024,0.0882476975428479
"16993",7817261280,"Express Courier International (eParcel)",16022024,0
"16994",7817263631,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16995",7817263631,"AP Security Mgt Charge",16022024,NA
"16996",7817263631,"Express Post with Signature",16022024,0.0884229720194261
"16997",7817263631,"Parcel Post with Signature",16022024,0.088223067620616
"16998",7817263704,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"16999",7817263704,"Parcel Post with Signature",16022024,0.0879767024124155
"17000",7817263865,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17001",7817263865,"Parcel Post with Signature",16022024,0.0881993431120069
"17002",7817264085,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17003",7817264085,"AP Security Mgt Charge",16022024,NA
"17004",7817264085,"Express Post with Signature",16022024,0.088178459805865
"17005",7817264085,"Parcel Post with Signature",16022024,0.0881663326348434
"17006",7817264440,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17007",7817264440,"Parcel Post with Signature",16022024,0.0881107275570526
"17008",7817264442,"PACK AND TRACK INTERNATIONAL",16022024,0
"17009",7817264444,"PACK AND TRACK INTERNATIONAL",16022024,0
